timestamp,cpu_percent,ram_percent,disk_read_delta,disk_write_delta,net_sent_delta,net_recv_delta,label
2026-01-12 15:12:03.725731,100.0,86.1,0.0,2973696.0,97.0,174.0,1
2026-01-12 15:12:05.311770,100.0,86.1,8192.0,2482176.0,176.0,288.0,1
2026-01-12 15:12:06.654023,100.0,86.1,0.0,1560576.0,433.0,1203.0,1
2026-01-12 15:12:07.668230,99.7,86.1,0.0,2015232.0,11575.0,7906.0,1
2026-01-12 15:12:08.681590,95.8,86.1,0.0,0.0,82.0,132.0,1
2026-01-12 15:12:09.695701,95.6,86.1,0.0,1470464.0,246.0,137.0,1
2026-01-12 15:12:10.710428,96.1,86.1,0.0,1519616.0,722.0,682.0,1
2026-01-12 15:12:11.722733,98.2,86.1,33280.0,1507328.0,162.0,114.0,1
2026-01-12 15:12:12.735436,95.2,86.1,0.0,0.0,108.0,54.0,1
2026-01-12 15:12:13.750126,96.0,86.1,0.0,1912832.0,0.0,60.0,1
2026-01-12 15:12:14.765385,95.6,86.1,139264.0,1871872.0,42.0,60.0,1
2026-01-12 15:12:15.790782,96.2,86.0,0.0,1548288.0,108.0,402.0,1
2026-01-12 15:12:16.801103,94.9,85.2,0.0,40960.0,287.0,945.0,1
2026-01-12 15:12:17.811140,15.3,85.2,8192.0,1982464.0,3312.0,1648.0,1
2026-01-12 15:12:18.820370,7.5,85.2,151552.0,1339392.0,3178.0,4483.0,0
2026-01-12 15:12:19.831142,6.8,85.2,151040.0,290816.0,0.0,0.0,0
2026-01-12 15:12:20.840441,7.1,85.2,0.0,1429504.0,55.0,126.0,0
2026-01-12 15:12:21.851386,6.2,85.2,4096.0,151552.0,178.0,329.0,0
2026-01-12 15:12:22.861691,6.7,85.2,0.0,2121728.0,843.0,950.0,0
2026-01-12 15:12:23.872173,4.8,85.2,0.0,0.0,108.0,540.0,0
2026-01-12 15:12:24.882182,7.7,85.1,0.0,2088960.0,233.0,911.0,0
